Barrio;Año;Trismestre;Valor;Ambientes;Estado
Belgrano;2020;2;3900.36;2;Nuevo
Boedo;2020;2;;2;Nuevo
Caballito;2020;2;3245.62;2;Nuevo
Coghlan;2020;2;3134.87;2;Nuevo
Colegiales;2020;2;3287.4;2;Nuevo
Flores;2020;2;2792.74;2;Nuevo
Liniers;2020;2;2704.42;2;Nuevo
Mataderos;2020;2;2669.66;2;Nuevo
Monte Castro;2020;2;2677.16;2;Nuevo
Núñez;2020;2;3490.89;2;Nuevo
Palermo;2020;2;3744.94;2;Nuevo
Parque Chacabuco;2020;2;2610.67;2;Nuevo
Recoleta;2020;2;3923.8;2;Nuevo
Saavedra;2020;2;3048.88;2;Nuevo
San Cristóbal;2020;2;;2;Nuevo
Villa Crespo;2020;2;3051.87;2;Nuevo
Villa del Parque;2020;2;2851.41;2;Nuevo
Villa Devoto;2020;2;3055.44;2;Nuevo
Villa Luro;2020;2;2616.86;2;Nuevo
Villa Urquiza;2020;2;3353.08;2;Nuevo
Almagro;2020;3;2964.08;2;Nuevo
Balvanera;2020;3;2612.54;2;Nuevo
Belgrano;2020;3;3673.8;2;Nuevo
Boedo;2020;3;2646.04;2;Nuevo
Caballito;2020;3;3135.59;2;Nuevo
Coghlan;2020;3;;2;Nuevo
Colegiales;2020;3;3252.27;2;Nuevo
Flores;2020;3;2844.24;2;Nuevo
Liniers;2020;3;2567.99;2;Nuevo
Mataderos;2020;3;2799.31;2;Nuevo
Monte Castro;2020;3;2633.26;2;Nuevo
Núñez;2020;3;3394.09;2;Nuevo
Palermo;2020;3;3575.14;2;Nuevo
Parque Chacabuco;2020;3;2711.69;2;Nuevo
Recoleta;2020;3;3492.48;2;Nuevo
Saavedra;2020;3;;2;Nuevo
San Cristóbal;2020;3;;2;Nuevo
Villa Crespo;2020;3;2984.28;2;Nuevo
Villa del Parque;2020;3;2824.96;2;Nuevo
Villa Devoto;2020;3;2899.78;2;Nuevo
Villa Luro;2020;3;;2;Nuevo
Villa Urquiza;2020;3;3132.47;2;Nuevo
Almagro;2020;4;2910.96;2;Nuevo
Balvanera;2020;4;2613.67;2;Nuevo
Belgrano;2020;4;3591.97;2;Nuevo
Boedo;2020;4;2648.51;2;Nuevo
Caballito;2020;4;3037.61;2;Nuevo
Coghlan;2020;4;2750.63;2;Nuevo
Colegiales;2020;4;3175.6;2;Nuevo
Flores;2020;4;2711.93;2;Nuevo
Liniers;2020;4;2515.04;2;Nuevo
Mataderos;2020;4;2756.04;2;Nuevo
Monte Castro;2020;4;2562.54;2;Nuevo
Núñez;2020;4;3431.09;2;Nuevo
Palermo;2020;4;3509.33;2;Nuevo
Parque Chacabuco;2020;4;2676.63;2;Nuevo
Recoleta;2020;4;3489.43;2;Nuevo
Saavedra;2020;4;2906.14;2;Nuevo
San Cristóbal;2020;4;;2;Nuevo
Villa Crespo;2020;4;2905.82;2;Nuevo
