Barrio;Año;Trimestre;Valor;Ambiente;Estado
Palermo;2021;2;3369.92;1;Nuevo
Recoleta;2021;2;3250.18;1;Nuevo
Saavedra;2021;2;2825.42;1;Nuevo
San Cristóbal;2021;2;2346.88;1;Nuevo
Villa Crespo;2021;2;2790.96;1;Nuevo
Villa Devoto;2021;2;;1;Nuevo
Villa Luro;2021;2;2506.4;1;Nuevo
Villa Urquiza;2021;2;2877.59;1;Nuevo
Almagro;2021;3;2637.15;1;Nuevo
Balvanera;2021;3;2513.65;1;Nuevo
Belgrano;2021;3;3591.36;1;Nuevo
Caballito;2021;3;2729.57;1;Nuevo
Colegiales;2021;3;;1;Nuevo
Flores;2021;3;2400.96;1;Nuevo
Liniers;2021;3;2552.56;1;Nuevo
Montserrat;2021;3;;1;Nuevo
Núñez;2021;3;3058.5;1;Nuevo
Palermo;2021;3;3312.34;1;Nuevo
Recoleta;2021;3;3288.75;1;Nuevo
Saavedra;2021;3;2768.67;1;Nuevo
San Cristóbal;2021;3;2308.69;1;Nuevo
Villa Crespo;2021;3;2690.77;1;Nuevo
Villa Devoto;2021;3;2579.5;1;Nuevo
Villa Luro;2021;3;2355.19;1;Nuevo
Villa Urquiza;2021;3;2857.31;1;Nuevo
Almagro;2021;4;2567.51;1;Nuevo
Balvanera;2021;4;2439.59;1;Nuevo
Belgrano;2021;4;3261.46;1;Nuevo
Caballito;2021;4;2612.78;1;Nuevo
Colegiales;2021;4;;1;Nuevo
Flores;2021;4;2317.1;1;Nuevo
Liniers;2021;4;2447.38;1;Nuevo
Montserrat;2021;4;2517.39;1;Nuevo
Núñez;2021;4;2970.86;1;Nuevo
Palermo;2021;4;3234.4;1;Nuevo
Recoleta;2021;4;3331.13;1;Nuevo
Saavedra;2021;4;2690.33;1;Nuevo
San Cristóbal;2021;4;2275.17;1;Nuevo
Villa Crespo;2021;4;2643.26;1;Nuevo
Villa Devoto;2021;4;2595.64;1;Nuevo
Villa Luro;2021;4;2350.11;1;Nuevo
Villa Urquiza;2021;4;2820.91;1;Nuevo
Almagro;2022;1;2566.42;1;Nuevo
Balvanera;2022;1;2487.12;1;Nuevo
Belgrano;2022;1;;1;Nuevo
Caballito;2022;1;2615.13;1;Nuevo
Colegiales;2022;1;3112.41;1;Nuevo
Flores;2022;1;2336.01;1;Nuevo
Liniers;2022;1;2418.55;1;Nuevo
Montserrat;2022;1;2484.97;1;Nuevo
Núñez;2022;1;2954.79;1;Nuevo
Palermo;2022;1;3186.72;1;Nuevo
Recoleta;2022;1;3154.56;1;Nuevo
Saavedra;2022;1;2698.58;1;Nuevo
San Cristóbal;2022;1;2171.7;1;Nuevo
Villa Crespo;2022;1;2598.28;1;Nuevo
Villa Devoto;2022;1;2567.74;1;Nuevo
Villa Luro;2022;1;2374.59;1;Nuevo
Villa Urquiza;2022;1;2780.02;1;Nuevo
Almagro;2022;2;2543.95;1;Nuevo
Balvanera;2022;2;2479.52;1;Nuevo
Belgrano;2022;2;3379.99;1;Nuevo
Caballito;2022;2;2499.42;1;Nuevo
Colegiales;2022;2;2970.49;1;Nuevo
Flores;2022;2;2295.53;1;Nuevo
Liniers;2022;2;2426.13;1;Nuevo
Montserrat;2022;2;2374.41;1;Nuevo
Núñez;2022;2;2972.31;1;Nuevo
Palermo;2022;2;3090.18;1;Nuevo
Recoleta;2022;2;3162.88;1;Nuevo
Saavedra;2022;2;2683.62;1;Nuevo
San Cristóbal;2022;2;2183.64;1;Nuevo
Villa Crespo;2022;2;2579.68;1;Nuevo
Villa Devoto;2022;2;2582.35;1;Nuevo
Villa Luro;2022;2;2350.35;1;Nuevo
Villa Urquiza;2022;2;2701.72;1;Nuevo
Almagro;2022;3;2395.52;1;Nuevo
Balvanera;2022;3;2408.17;1;Nuevo
Belgrano;2022;3;3081.06;1;Nuevo
Caballito;2022;3;2524.27;1;Nuevo
Colegiales;2022;3;2806.27;1;Nuevo
Flores;2022;3;2247.38;1;Nuevo
Liniers;2022;3;2285.73;1;Nuevo
Montserrat;2022;3;2346.67;1;Nuevo
Núñez;2022;3;2924.96;1;Nuevo
Palermo;2022;3;3105.23;1;Nuevo
Recoleta;2022;3;3022.48;1;Nuevo
Saavedra;2022;3;2599.48;1;Nuevo
San Cristóbal;2022;3;2046.5;1;Nuevo
Villa Crespo;2022;3;2510.65;1;Nuevo
Villa Devoto;2022;3;2539.91;1;Nuevo
Villa Luro;2022;3;2237.27;1;Nuevo
Villa Urquiza;2022;3;2634.36;1;Nuevo
Almagro;2022;4;2338.49;1;Nuevo
Balvanera;2022;4;2237.57;1;Nuevo
Belgrano;2022;4;3168.02;1;Nuevo
Caballito;2022;4;2348;1;Nuevo
Colegiales;2022;4;2909.49;1;Nuevo
Flores;2022;4;2180.07;1;Nuevo
Liniers;2022;4;2269.08;1;Nuevo
Montserrat;2022;4;2236.45;1;Nuevo
Núñez;2022;4;;1;Nuevo
Palermo;2022;4;3092.4;1;Nuevo
Recoleta;2022;4;2961.06;1;Nuevo
Saavedra;2022;4;2496.65;1;Nuevo
San Cristóbal;2022;4;1978.61;1;Nuevo
Villa Crespo;2022;4;2447.37;1;Nuevo
Villa Devoto;2022;4;2422.68;1;Nuevo
Villa Luro;2022;4;2254.05;1;Nuevo
Villa Urquiza;2022;4;2680.93;1;Nuevo
Almagro;2023;1;2406.57;1;Nuevo
Balvanera;2023;1;2277.98;1;Nuevo
Belgrano;2023;1;3236.13;1;Nuevo
Caballito;2023;1;2453.94;1;Nuevo
Colegiales;2023;1;2728.57;1;Nuevo
Flores;2023;1;2195.93;1;Nuevo
Liniers;2023;1;2207.7;1;Nuevo
Montserrat;2023;1;2292.64;1;Nuevo
Núñez;2023;1;2889.09;1;Nuevo
Palermo;2023;1;3151.12;1;Nuevo
Recoleta;2023;1;3026.6;1;Nuevo
Saavedra;2023;1;2460.36;1;Nuevo
San Cristóbal;2023;1;2012.08;1;Nuevo
Villa Crespo;2023;1;2474.63;1;Nuevo
Villa Devoto;2023;1;2416.34;1;Nuevo
Villa Luro;2023;1;2166;1;Nuevo
Villa Urquiza;2023;1;2636.27;1;Nuevo
Almagro;2023;2;2334.82;1;Nuevo
Balvanera;2023;2;2312.05;1;Nuevo
Belgrano;2023;2;3045.21;1;Nuevo
Caballito;2023;2;2335.83;1;Nuevo
Colegiales;2023;2;2998.1;1;Nuevo
Flores;2023;2;2190.65;1;Nuevo
Liniers;2023;2;2177.25;1;Nuevo
Montserrat;2023;2;2391.21;1;Nuevo
Núñez;2023;2;2801.96;1;Nuevo
Palermo;2023;2;3152.7;1;Nuevo
Recoleta;2023;2;2977.39;1;Nuevo
Saavedra;2023;2;2519.69;1;Nuevo
San Cristóbal;2023;2;1978.89;1;Nuevo
Villa Crespo;2023;2;2415.01;1;Nuevo
Villa Devoto;2023;2;2404.8;1;Nuevo
Villa Luro;2023;2;2113.85;1;Nuevo
Villa Urquiza;2023;2;2625.02;1;Nuevo
Almagro;2023;3;2304.64;1;Nuevo
Balvanera;2023;3;2250.81;1;Nuevo
Belgrano;2023;3;2863.24;1;Nuevo
Caballito;2023;3;2375.19;1;Nuevo
Colegiales;2023;3;2721.02;1;Nuevo
Flores;2023;3;2151.69;1;Nuevo
Liniers;2023;3;2056.84;1;Nuevo
Montserrat;2023;3;;1;Nuevo
Núñez;2023;3;2756.92;1;Nuevo
Palermo;2023;3;3132;1;Nuevo
Recoleta;2023;3;2958.67;1;Nuevo
Saavedra;2023;3;2411.97;1;Nuevo
San Cristóbal;2023;3;1978.81;1;Nuevo
Villa Crespo;2023;3;2394.98;1;Nuevo
Villa Devoto;2023;3;2376.79;1;Nuevo
Villa Luro;2023;3;2110.84;1;Nuevo
Villa Urquiza;2023;3;2598.68;1;Nuevo
Almagro;2023;4;2292.57;1;Nuevo
Balvanera;2023;4;2323.87;1;Nuevo
Belgrano;2023;4;2855.37;1;Nuevo
Caballito;2023;4;2410.29;1;Nuevo
Colegiales;2023;4;2782.88;1;Nuevo
Flores;2023;4;2202.01;1;Nuevo
Liniers;2023;4;2063.14;1;Nuevo
Montserrat;2023;4;2433.81;1;Nuevo
Núñez;2023;4;2767.07;1;Nuevo
Palermo;2023;4;3218.92;1;Nuevo
Recoleta;2023;4;3034.29;1;Nuevo
Saavedra;2023;4;;1;Nuevo
San Cristóbal;2023;4;1961.69;1;Nuevo
Villa Crespo;2023;4;2402.15;1;Nuevo
Villa Devoto;2023;4;2372.03;1;Nuevo
Villa Luro;2023;4;2120.62;1;Nuevo
Villa Urquiza;2023;4;2710.3;1;Nuevo
Almagro;2024;1;2372.57;1;Nuevo
Balvanera;2024;1;2399.31;1;Nuevo
Belgrano;2024;1;2971.8;1;Nuevo
Caballito;2024;1;2521.15;1;Nuevo
Colegiales;2024;1;3032.89;1;Nuevo
Flores;2024;1;2233.47;1;Nuevo
Liniers;2024;1;2040.96;1;Nuevo
Montserrat;2024;1;2392.2;1;Nuevo
Núñez;2024;1;;1;Nuevo
Palermo;2024;1;3372.87;1;Nuevo
Recoleta;2024;1;3196.35;1;Nuevo
Saavedra;2024;1;;1;Nuevo
San Cristóbal;2024;1;2052.75;1;Nuevo
Villa Crespo;2024;1;2550.19;1;Nuevo
Villa Devoto;2024;1;2461.03;1;Nuevo
Villa Luro;2024;1;2239.85;1;Nuevo
Villa Urquiza;2024;1;2703.01;1;Nuevo
Almagro;2024;2;2512.79;1;Nuevo
Balvanera;2024;2;2406.86;1;Nuevo
Belgrano;2024;2;3121.05;1;Nuevo
Caballito;2024;2;2609.14;1;Nuevo
Colegiales;2024;2;3103.33;1;Nuevo
Flores;2024;2;2124.21;1;Nuevo
Liniers;2024;2;2032.55;1;Nuevo
Montserrat;2024;2;2565.84;1;Nuevo
Núñez;2024;2;3021.01;1;Nuevo
Palermo;2024;2;3448.74;1;Nuevo
Recoleta;2024;2;3214.81;1;Nuevo
Saavedra;2024;2;2560.63;1;Nuevo
San Cristóbal;2024;2;2085.08;1;Nuevo
Villa Crespo;2024;2;2594.84;1;Nuevo
Villa Devoto;2024;2;2584.03;1;Nuevo
Villa Luro;2024;2;2229.09;1;Nuevo
Villa Urquiza;2024;2;2722.47;1;Nuevo
Almagro;2024;3;2641.63;1;Nuevo
Balvanera;2024;3;2371.94;1;Nuevo
Belgrano;2024;3;3209.71;1;Nuevo
Caballito;2024;3;2683;1;Nuevo
Colegiales;2024;3;3182.4;1;Nuevo
Flores;2024;3;2298.41;1;Nuevo
Liniers;2024;3;2086.62;1;Nuevo
Montserrat;2024;3;2717.43;1;Nuevo
Núñez;2024;3;3149.05;1;Nuevo
